country,scene,sequence,old_relative_path,old_filename,new_relative_path,new_filename
Singapore,Industrial,1,Survey_Images/Singapore/Industrial/compressed_0lwB6y0jPhmllqh1HrNasw_color_front.jpg,compressed_0lwB6y0jPhmllqh1HrNasw_color_front.jpg,Survey_Images_flat/singapore_industrial_1.jpg,singapore_industrial_1.jpg
Singapore,Industrial,2,Survey_Images/Singapore/Industrial/compressed_2wefAZzIGcWv8rqxn7ZDvQ_color_front.jpg,compressed_2wefAZzIGcWv8rqxn7ZDvQ_color_front.jpg,Survey_Images_flat/singapore_industrial_2.jpg,singapore_industrial_2.jpg
Singapore,Industrial,3,Survey_Images/Singapore/Industrial/compressed_3SacX4fbvpah1k4JJ_Q2fg_color_front.jpg,compressed_3SacX4fbvpah1k4JJ_Q2fg_color_front.jpg,Survey_Images_flat/singapore_industrial_3.jpg,singapore_industrial_3.jpg
Singapore,Industrial,4,Survey_Images/Singapore/Industrial/compressed_Bg11EBRrIIuUfKr8BlkAZg_color_front.jpg,compressed_Bg11EBRrIIuUfKr8BlkAZg_color_front.jpg,Survey_Images_flat/singapore_industrial_4.jpg,singapore_industrial_4.jpg
Singapore,Industrial,5,Survey_Images/Singapore/Industrial/compressed_F0atqKxt9I7Mub7lF9uG0A_color_front.jpg,compressed_F0atqKxt9I7Mub7lF9uG0A_color_front.jpg,Survey_Images_flat/singapore_industrial_5.jpg,singapore_industrial_5.jpg
Singapore,Industrial,6,Survey_Images/Singapore/Industrial/compressed_hMfX2CZ1S3DLl9E2_JzToQ_color_front.jpg,compressed_hMfX2CZ1S3DLl9E2_JzToQ_color_front.jpg,Survey_Images_flat/singapore_industrial_6.jpg,singapore_industrial_6.jpg
Singapore,Residential,1,Survey_Images/Singapore/Residential/compressed_62k4ONVau87VexqC5Yx6YA_color_front.jpg,compressed_62k4ONVau87VexqC5Yx6YA_color_front.jpg,Survey_Images_flat/singapore_residential_1.jpg,singapore_residential_1.jpg
Singapore,Residential,2,Survey_Images/Singapore/Residential/compressed_6u-vhsv3Nz_SxTLMJ0ZXwA_color_front.jpg,compressed_6u-vhsv3Nz_SxTLMJ0ZXwA_color_front.jpg,Survey_Images_flat/singapore_residential_2.jpg,singapore_residential_2.jpg
Singapore,Residential,3,Survey_Images/Singapore/Residential/compressed_KoE_aZzwC1zo1CDKZlpZHA_color_front.jpg,compressed_KoE_aZzwC1zo1CDKZlpZHA_color_front.jpg,Survey_Images_flat/singapore_residential_3.jpg,singapore_residential_3.jpg
Singapore,Residential,4,Survey_Images/Singapore/Residential/compressed___VzE5_1czgpce6SoD0bFg_color_front.jpg,compressed___VzE5_1czgpce6SoD0bFg_color_front.jpg,Survey_Images_flat/singapore_residential_4.jpg,singapore_residential_4.jpg
Singapore,Residential,5,Survey_Images/Singapore/Residential/compressed_kMpSHmLnnUevtBZA-GfbaQ_color_front.jpg,compressed_kMpSHmLnnUevtBZA-GfbaQ_color_front.jpg,Survey_Images_flat/singapore_residential_5.jpg,singapore_residential_5.jpg
Singapore,Residential,6,Survey_Images/Singapore/Residential/compressed_u-nIGXPGjM3YCjSsx8D2dA_color_front.jpg,compressed_u-nIGXPGjM3YCjSsx8D2dA_color_front.jpg,Survey_Images_flat/singapore_residential_6.jpg,singapore_residential_6.jpg
