image_id,image_url,scene_type,country,image_set,notes
SG_IND_3SacX4fbvpah1k4JJ_Q2fg_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Industrial/compressed_3SacX4fbvpah1k4JJ_Q2fg_color_front.jpg,Industrial,Singapore,H,
SG_RES_KoE_aZzwC1zo1CDKZlpZHA_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Residential/compressed_KoE_aZzwC1zo1CDKZlpZHA_color_front.jpg,Residential,Singapore,H,
SG_CAM_U8-GN2zt0smc9ekcjSjaXQ_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Campus/compressed_U8-GN2zt0smc9ekcjSjaXQ_color_front.jpg,Campus,Singapore,I,
SG_COM_Aa48WJy_ufg5vz5ObShwRw_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Commercial/compressed_Aa48WJy_ufg5vz5ObShwRw_color_front.jpg,Commercial,Singapore,I,
SG_HWY_omKYicoi3uYpelajANMIxA_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Highway/compressed_omKYicoi3uYpelajANMIxA_color_front.jpg,Highway,Singapore,I,
SG_IND_Bg11EBRrIIuUfKr8BlkAZg_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Industrial/compressed_Bg11EBRrIIuUfKr8BlkAZg_color_front.jpg,Industrial,Singapore,I,
SG_RES___VzE5_1czgpce6SoD0bFg_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Residential/compressed___VzE5_1czgpce6SoD0bFg_color_front.jpg,Residential,Singapore,I,
SG_CAM_xYPYsos_ONG0vdm1m2clkg_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Campus/compressed_xYPYsos_ONG0vdm1m2clkg_color_front.jpg,Campus,Singapore,J,
SG_COM_AbIFC_a_aFxCU6mfKq26hQ_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Commercial/compressed_AbIFC_a_aFxCU6mfKq26hQ_color_front.jpg,Commercial,Singapore,J,
SG_HWY_yEF4ITQZDOetB-p3wDQEQw_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Highway/compressed_yEF4ITQZDOetB-p3wDQEQw_color_front.jpg,Highway,Singapore,J,
SG_IND_F0atqKxt9I7Mub7lF9uG0A_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Industrial/compressed_F0atqKxt9I7Mub7lF9uG0A_color_front.jpg,Industrial,Singapore,J,
SG_RES_kMpSHmLnnUevtBZA-GfbaQ_color_front,raw.githubusercontent.com/zichengfan/India_Singapore_survey/main/Survey_Images/Singapore/Residential/compressed_kMpSHmLnnUevtBZA-GfbaQ_color_front.jpg,Residential,Singapore,J,
